Year,Rainfall
1711,1091.6
1712,1252.6000000000001
1713,982.5
1714,884.2
1715,1258.0
1716,1046.4
1717,1029.7
1718,956.4
1719,958.8
1720,1220.4
1721,1137.2
1722,1133.8
1723,863.6
1724,1223.4
1725,1200.0
1726,1102.4
1727,1166.3
1728,1191.2
1729,1105.8
1730,1203.1000000000001
1731,898.0999999999999
1732,1124.1
1733,1211.7
1734,1179.1
1735,1333.6
1736,1025.6
1737,1106.8
1738,1279.6
1739,1117.6000000000001
1740,777.0
1741,825.8
1742,941.5
1743,1012.9000000000001
1744,1134.8999999999999
1745,1086.2
1746,1000.8
1747,817.0
1748,891.6
1749,906.8
1750,1012.9000000000001
1751,1133.9
1752,1078.7
1753,1099.2
1754,1043.0
1755,1200.0
1756,1295.9
1757,1033.5
1758,1101.4
1759,892.9000000000001
1760,1152.2
1761,998.7
1762,883.0
1763,1226.8
1764,1149.1
1765,964.1
1766,903.4
1767,1064.6
1768,1407.3
1769,1011.5
1770,1168.3
1771,898.2
1772,1160.8
1773,1193.2
1774,984.6
1775,1249.8
1776,1036.5
1777,1031.2
1778,1200.0
1779,1048.5
1780,893.1
1781,975.0
1782,1218.2
1783,1086.4
1784,938.1999999999999
1785,901.4
1786,968.5
1787,1119.8
1788,697.0
1789,1217.0
1790,1056.2
1791,1112.2
1792,1307.8
1793,954.4
1794,1236.5
1795,1096.0
1796,900.3
1797,1063.6
1798,988.9
1799,1075.6
1800,991.4000000000001
1801,1015.9
1802,1077.4
1803,821.5
1804,1147.7
1805,910.1
1806,1158.9
1807,1086.3
1808,1026.8
1809,1164.1
1810,1004.2
1811,1163.1
1812,1078.7
1813,1022.5
1814,1058.2
1815,1037.8
1816,1165.1000000000001
1817,1117.7
1818,1200.8999999999999
1819,1142.3
1820,969.7
1821,1089.5
1822,1157.7
1823,1169.5
1824,1015.0
1825,1025.7
1826,885.5
1827,1051.7
1828,1220.4
1829,979.2
1830,1002.0
1831,1126.3
1832,954.6
1833,1160.8
1834,1012.7
1835,1102.5
1836,1103.7
1837,996.6999999999999
1838,1034.4
1839,1151.2
1840,916.5
1841,1039.9
1842,991.1999999999999
1843,985.7
1844,945.8
1845,1080.8
1846,1183.4
1847,1028.9
1848,1185.6
1849,1080.0
1850,1021.0
1851,995.2
1852,1348.5
1853,1040.3
1854,899.3
1855,825.9
1856,950.5
1857,963.3000000000001
1858,986.4
1859,989.2
1860,1143.9
1861,1249.6
1862,1204.1
1863,1108.4
1864,924.8
1865,1138.9
1866,1101.6
1867,1012.7
1868,1147.4
1869,1075.2
1870,928.9
1871,1076.4
1872,1404.9
1873,1045.5
1874,1048.9
1875,1125.8
1876,1206.8
1877,1329.9
1878,1024.0
1879,1070.3
1880,1075.1000000000001
1881,1148.4
1882,1252.6
1883,1214.7
1884,1066.2
1885,1015.2
1886,1190.7
1887,789.0
1888,1065.9
1889,1008.2
1890,1047.1
1891,1042.1000000000001
1892,1050.2
1893,856.6
1894,1087.7
1895,1060.9
1896,1011.4
1897,1217.2
1898,1063.0
1899,1095.8
1900,1217.7
1901,1026.0
1902,993.0
1903,1335.2
1904,1044.2
1905,931.9
1906,968.2
1907,1047.4
1908,1031.3
1909,959.5
1910,1128.2
1911,1019.3
1912,1123.9
1913,1117.6
1914,1123.3
1915,1070.7
1916,1193.5
1917,1020.5
1918,1141.8
1919,917.4
1920,1174.8
1921,897.0
1922,961.0
1923,1164.1
1924,1293.8
1925,1025.1
1926,1036.6
1927,1144.6
1928,1337.1
1929,1135.0
1930,1237.9
1931,1172.0
1932,1014.1
1933,821.1
1934,1104.0
1935,1024.7
1936,1109.0
1937,1097.8
1938,1203.4
1939,1037.1
1940,1119.6
1941,963.4
1942,1039.9
1943,1059.4
1944,1062.7
1945,1026.2
1946,1214.1
1947,1247.4
1948,1221.7
1949,972.9
1950,1170.4
1951,1171.1
1952,929.2
1953,896.9
1954,1241.5
1955,979.0
1956,1066.1
1957,1108.8
1958,1280.9
1959,1015.2
1960,1328.1
1961,1068.1
1962,1016.8
1963,1049.3
1964,1054.3
1965,1178.5
1966,1239.2
1967,1101.0
1968,1104.0
1969,940.0
1970,1053.1
1971,844.2
1972,1057.3
1973,978.8000000000001
1974,1137.0
1975,871.6
1976,1010.7
1977,1163.9
1978,1099.8
1979,1156.6000000000001
1980,1194.4
1981,1148.6
1982,1250.8
1983,1069.0
1984,1061.8
1985,1147.6
1986,1225.2
1987,1017.1999999999999
1988,1174.2
1989,1011.2
1990,1100.9
1991,1015.7
1992,1060.3
1993,1166.3
1994,1236.6
1995,1103.8
1996,1127.9
1997,1126.4
1998,1257.5
1999,1153.3
2000,1195.7
2001,924.6999999999999
2002,1393.3
2003,934.8
2004,1053.3
2005,1049.8
2006,1181.5
2007,1066.6
2008,1249.5
2009,1375.6000000000001
2010,987.6999999999999
2011,1126.5
2012,1183.7
2013,1116.5
2014,1262.7
2015,1346.0
2016,1060.7
