bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,Year
1,0.0,-50.0,-55.0,,218.3,3.105321,2000.0
2,0.55,-43.55977,-50.51333333,,218.3,3.104805,1993.55977
3,1.1,-37.44019,-46.02666667,,218.3,3.104404,1987.44019
4,1.65,-31.64156,-41.54,,218.3,3.104025,1981.64156
5,2.2,-24.55278,-34.51666667,,218.3,3.103453,1974.55278
6,2.75,-17.78422,-27.49333333,,218.3,3.102677,1967.78422
7,3.3,-11.01305,-20.47,,218.3,3.101557,1961.01305
8,3.85,-3.2703,-12.21333333,,218.3,3.099708,1953.2703
9,4.4,5.447842,-3.956666667,,218.3,3.096691,1944.552158
10,4.95,13.52999,4.3,,218.3,3.092812,1936.47001
11,5.5,22.27284,13.22,,218.3,3.087226,1927.72716
12,6.05,30.70987,22.14,,218.3,3.080266,1919.29013
13,6.6,38.51757,31.06,-390.9,218.3,3.07229,1911.48243
14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912,1902.99789
15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866,1894.79448
16,8.25,64.43646,57.05,-394.1,217.7,3.027896,1885.56354
17,8.8,73.05573,66.38,-398.7,217.0,3.011312,1876.94427
18,9.35,81.72349,75.71,-395.9,217.4,2.994881,1868.27651
19,9.9,90.43857,85.04,-395.9,217.4,2.92487,1859.56143
20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806,1850.29515
21,11.0,109.8195,104.6866667,-391.4,218.2,2.668117,1840.1805
22,11.55,119.2176,114.51,-399.5,216.8,2.660774,1830.7824
23,12.1,129.3916,124.6733333,-402.9,216.3,2.65627,1820.6084
24,12.65,139.9534,134.8366667,-393.9,217.8,2.655582,1810.0466000000001
25,13.2,150.1377,145.0,-398.6,217.0,2.659589,1799.8623
26,13.75,160.6797,155.4433333,-389.8,218.4,2.662412,1789.3203
27,14.3,171.2088,165.8866667,-394.5,217.7,2.66669,1778.7912000000001
28,14.85,181.7194,176.33,-400.5,216.7,2.672306,1768.2806
29,15.4,191.8325,186.7333333,-403.6,216.2,2.678883,1758.1675
30,15.95,202.293,197.1366667,-393.1,217.9,2.734536,1747.7069999999999
31,16.5,212.5394,207.54,-410.9,215.0,2.745716,1737.4605999999999
32,17.05,223.471,218.3533333,-393.6,217.8,2.75664,1726.529
33,17.6,233.9967,229.1666667,-391.1,218.2,2.768041,1716.0033
